"ASN.SITE.NO","DAY","MONTH","YEAR","DOC","A350","SR","BA","FI","HIXOHNO","C1","C2","C3","C4","C5","C6","C7","SUVA254","DISC","DO","pH","S.COND","SRP","TDN","TDP","TEMP","TP","TSS","A254","Cth","Cmh","Cmp","Cf"
20,NA,4,2005,10.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.58,25.6,NA,NA,NA,NA,2.559585,NA,NA,NA,NA,NA,NA
21,NA,4,2005,3.215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.82,20.3,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
22,NA,4,2005,5.734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,81.2,NA,NA,NA,NA,8.02701,NA,NA,NA,NA,NA,NA
23,NA,4,2005,4.771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.61,292,NA,NA,NA,NA,4.48554,NA,NA,NA,NA,NA,NA
24,NA,4,2005,5.439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,190,NA,NA,NA,NA,4.81562,NA,NA,NA,NA,NA,NA
25,NA,4,2005,6.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.58,20.2,NA,NA,NA,NA,1.770735,NA,NA,NA,NA,NA,NA
26,NA,4,2005,5.792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.83,24.1,NA,NA,NA,NA,4.579345,NA,NA,NA,NA,NA,NA
1,NA,8,2005,5.757,3.697551882,1.049923021,0.556304442,1.463816303,0.934986734,NA,NA,NA,NA,NA,NA,NA,2.335861036,NA,NA,8,360,NA,545,1.071205,19,8.70456,NA,NA,NA,NA,NA,NA
2,NA,8,2005,15.366,9.529646174,1.006218726,0.598258271,1.266145497,0.930191956,NA,NA,NA,NA,NA,NA,NA,2.662565376,0,NA,8,390,NA,907,9.43865,21,38.92762,NA,NA,NA,NA,NA,NA
3,NA,8,2005,10.831,9.37493581,0.930234694,0.514929171,1.444935136,0.955419698,NA,NA,NA,NA,NA,NA,NA,3.082965794,0,NA,8.16,286,NA,546,1.53439,21,6.462275,NA,NA,NA,NA,NA,NA
